,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
0,768805383.0,Existing Customer,45.0,M,3.0,High School,Married,$60K - $80K,Blue,39.0,5.0,1.0,3.0,12691.0,777.0,11914.0,1.335,1144.0,42.0,1.625,0.061,9.3448e-05,0.99991
1,818770008.0,Existing Customer,49.0,F,5.0,Graduate,Single,Less than $40K,Blue,44.0,6.0,1.0,,8256.0,864.0,7392.0,1.541,1291.0,33.0,3.714,0.105,5.6861e-05,0.99994
2,713982108.0,Existing Customer,51.0,M,3.0,Graduate,Married,$80K - $120K,Blue,36.0,4.0,1.0,0.0,3418.0,0.0,3418.0,2.594,1887.0,20.0,2.333,0.0,,0.99998
3,769911858.0,Existing Customer,40.0,F,4.0,High School,Unknown,Less than $40K,Blue,34.0,3.0,4.0,1.0,3313.0,2517.0,796.0,1.405,1171.0,20.0,,0.76,0.00013366,0.99987
4,709106358.0,Existing Customer,40.0,M,3.0,Uneducated,Married,$60K - $80K,Blue,21.0,5.0,1.0,0.0,4716.0,0.0,4716.0,2.175,816.0,28.0,2.5,0.0,2.1676e-05,0.99998
5,713061558.0,Existing Customer,44.0,M,2.0,Graduate,Married,$40K - $60K,,36.0,3.0,1.0,2.0,4010.0,1247.0,2763.0,1.376,1088.0,24.0,0.846,0.311,5.5077e-05,0.99994
6,810347208.0,Existing Customer,51.0,M,4.0,Unknown,Married,$120K +,Gold,46.0,6.0,1.0,3.0,34516.0,2264.0,32252.0,1.975,1330.0,31.0,0.722,0.066,0.00012303,0.99988
7,818906208.0,Existing Customer,32.0,M,0.0,,Unknown,$60K - $80K,Silver,27.0,2.0,2.0,2.0,29081.0,1396.0,27685.0,2.204,1538.0,36.0,0.714,0.048,8.5795e-05,0.99991
8,710930508.0,Existing Customer,37.0,M,3.0,Uneducated,Single,$60K - $80K,Blue,36.0,5.0,2.0,0.0,22352.0,2517.0,19835.0,3.355,1350.0,24.0,1.182,0.113,4.4796e-05,0.99996
9,719661558.0,Existing Customer,48.0,M,2.0,Graduate,Single,$80K - $120K,Blue,36.0,6.0,3.0,3.0,11656.0,1677.0,9979.0,1.524,1441.0,32.0,0.882,0.144,0.00030251,0.9997
10,708790833.0,Existing Customer,42.0,M,5.0,Uneducated,Unknown,$120K +,Blue,31.0,5.0,3.0,2.0,6748.0,1467.0,5281.0,0.831,1201.0,42.0,0.68,0.217,0.00019094,0.99981
11,710821833.0,Existing Customer,65.0,M,1.0,Unknown,Married,$40K - $60K,Blue,54.0,6.0,2.0,3.0,9095.0,1587.0,7508.0,1.433,1314.0,26.0,1.364,0.174,0.00019751,0.9998
